Status,Row,Distance_m,Group,Plant No.,treatment2,treatment1,Harvest Date,date,initials2,initials,Time_groupa,Time_group,time3,TimeFromSun,time2,time,Pod,Pod2,Pod3,FreshPodWeight_g,Abort2,Abort3,Pod_status,fresh_podWeight_g,developedSeeds2,developedSeeds,undevelopedSeeds,seedSum,CommericalGrade,CommericalGrade2,dry weight_g,nots_a,notes_b
DONE,10,7.6,b,129,bagged,bagged,,7-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-2,2,1,1.4235,Fl,1,Fl,1.4235,1,1,0,1,N,0,0.3987,,
DONE,10,7.6,b,133,bagged,cntrl,,7-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,0.9133,Fl,1,Fl,0.9133,1,1,0,1,N,0,0.2372,,
,11,8.36,c,216,bagged,bagged,,last 2 weeks july,AE,NA,NA,NA,NA,,NA,NA,pod-2,2,1,0.5543,Fl,1,Fl,0.5543,1,1,0,1,N,0,0.2124,,
,13,9.88,c,177,bagged,cntrl,,7-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-5,5,1,0.8202,Fl,1,Fl,0.8202,1,1,0,1,N,0,0.269,,
DONE,14,10.64,c,186,open,open,13-Aug-21,9-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-3,3,1,0.4,Fl,1,Fl,0.4,1,1,0,1,N,0,0.0846,44386,
DONE,5,3.8,a,85,cross,cross,,8-Jul-21,MR,MR,early,early,835,2,835,8:35:00 AM,pod-1,1,1,1.7929,Fl,1,Fl,1.7929,2,2,0,2,Y,1,0.4704,,
DONE,9,6.84,b,118,cross,cross,,7-Jul-21,YD,YD,early,early,915,3,915,9:15:00 AM,pod-1,1,1,2.4407,Fl,1,Fl,2.4407,2,2,0,2,Y,1,0.6294,,
DONE,10,7.6,b,142,cross,cross,16-Aug-21,7-Jul-21,KCE,KCE,early,early,925,3,925,9:25:00 AM,pod-1,1,1,3.0381,Fl,1,Fl,3.0381,2,2,0,2,Y,1,0.8336,,
DONE,10,7.6,b,142,cross,cross,16-Aug-21,7-Jul-21,KCE,KCE,early,early,925,3,925,9:25:00 AM,pod-2,2,1,3.6079,Fl,1,Fl,3.6079,2,2,0,2,Y,1,0.8325,,
DONE,3,2.28,a,53,cross,cross,16-Aug-21,8-Jul-21,KCE,KCE,early,early,947,3,947,9:47:00 AM,pod-1,1,1,2.1358,Fl,1,Fl,2.1358,2,2,0,2,Y,1,0.5782,,
DONE,11,8.36,c,147,cross,cross,,8-Jul-21,YD,YD,mid,early,1005,4,1005,10:05:00 AM,pod-1,1,1,2.4263,Fl,1,Fl,2.4263,2,2,0,2,Y,1,0.5689,,
DONE,10,7.6,b,140,cross,cross,,7-Jul-21,KCE,KCE,mid,early,1007,4,1007,10:07:00 AM,pod-2,2,1,2.6716,Fl,1,Fl,2.6716,2,2,0,2,Y,1,0.7831,,
DONE,10,7.6,b,138,cross,cross,,7-Jul-21,KCE,KCE,mid,early,1021,4,1021,10:38:00 AM,pod-3,3,1,2.0451,Fl,1,Fl,2.0451,2,2,0,2,Y,1,0.5186,,
DONE,12,9.12,c,161,cross,cross,16-Aug-21,8-Jul-21,YD,YD,mid,early,1028,4,1028,10:28:00 AM,pod-1,1,1,3.0674,Fl,1,Fl,3.0674,2,2,0,2,Y,1,0.6726,,
DONE,4,3.04,a,68,cross,cross,,6-Jul-21,KCE,KCE,mid,early,1038,4,1038,10:38:00 AM,pod-2,2,1,2.8623,Fl,1,Fl,2.8623,2,2,0,2,Y,1,0.8048,,
DONE,9,6.84,b,120,cross,cross,,7-Jul-21,YD,YD,mid,early,1040,4,1040,10:40:00 AM,pod-1,1,1,2.9282,Fl,1,Fl,2.9282,2,2,0,2,Y,1,0.802,,
DONE,3,2.28,a,52,cross,cross,16-Aug-21,6-Jul-21,YD,YD,mid,early,1041,4,1041,10:41:00 AM,pod-1,1,1,3.158,Fl,1,Fl,3.158,2,2,0,2,Y,1,0.8368,,
DONE,10,7.6,b,137,cross,cross,,7-Jul-21,KCE,KCE,mid,mid,1123,5,1123,11:23:00 AM,pod-1,1,1,2.499,Fl,1,Fl,2.499,2,2,0,2,Y,1,0.6965,,
DONE,2,1.52,a,13,bagged,bagged,,8-Jul-21,KCE,NA,NA,NA,1138,5,1138,11:38:00 AM,pod-3,3,1,1.9429,Fl,1,Fl,1.9429,2,2,0,2,Y,1,0.5512,,
DONE,11,8.36,c,230,cross,cross,,7-Jul-21,KCE,KCE,afternoon,afternoon,1223,6,1223,12:23:00 AM,pod-1,1,1,2.4483,Fl,1,Fl,2.4483,2,2,0,2,Y,1,0.6661,,
DONE,11,8.36,c,158,cross,cross,,7-Jul-21,KCE,KCE,afternoon,afternoon,1235,6,1235,12:35:00 PM,pod-1,1,1,2.1145,Fl,1,Fl,2.1145,2,2,0,2,Y,1,0.6143,,
DONE,11,8.36,c,160,bagged,cntrl,16-Aug,7-Jul-21,,NA,NA,NA,1305,7,1305,1305,pod-1,1,1,1.9746,Fl,1,Fl,1.9746,2,2,0,2,Y,1,0.461,,
DONE,11,8.36,c,160,bagged,cntrl,16-Aug,7-Jul-21,,NA,NA,NA,1305,7,1305,1305,pod-2,2,1,2.1156,Fl,1,Fl,2.1156,2,2,0,2,Y,1,0.5134,,
DONE,11,8.36,c,160,bagged,cntrl,16-Aug,7-Jul-21,KCE,NA,NA,NA,1305,7,1305,1305,pod-4,4,1,1.993,Fl,1,Fl,1.993,2,2,0,2,Y,1,0.4842,,
DONE,6,4.56,b,96,bagged,bagged,16-Aug-21,6-Jul-21,YD,NA,NA,NA,1323,7,1323,1:23:00 PM,pod-2,2,1,3.1071,Fl,1,Fl,3.1071,2,2,0,2,Y,1,0.8132,,
DONE,6,4.56,b,99,bagged,bagged,,6-Jul-21,YD,NA,NA,NA,1338,7,1338,1:38:00 PM,pod-1,1,1,1.6418,Fl,1,Fl,1.6418,2,2,0,2,Y,1,0.4175,,
DONE,6,4.56,b,99,bagged,bagged,16-Aug-21,6-Jul-21,,NA,NA,NA,1338,7,1338,1:38:00 PM,pod-2,2,1,2.2283,Fl,1,Fl,2.2283,2,2,0,2,Y,1,0.6003,,
DONE,6,4.56,b,99,bagged,bagged,16-Aug-21,6-Jul-21,,NA,NA,NA,1338,7,1338,1:38:00 PM,pod-3,3,1,2.4695,Fl,1,Fl,2.4695,2,2,0,2,Y,1,0.7051,,
DONE,4,3.04,a,57,bagged,bagged,16-Aug-21,6-Jul-21,,NA,NA,NA,1400,8,1400,2:00:00 PM,pod-3,3,1,3.2724,Fl,1,Fl,3.2724,2,2,0,2,Y,1,0.7719,,
DONE,5,3.8,a,92,bagged,bagged,16-Aug-21,6-Jul-21,KCE,NA,NA,NA,1400,8,1400,2:00:00 PM,pod-3,3,1,2.4935,Fl,1,Fl,2.4935,2,2,0,2,Y,1,0.7149,,
DONE,6,4.56,b,100,bagged,bagged,,6-Jul-21,YD,NA,NA,NA,1405,8,1405,2:05:00 PM,pod-1,1,1,1.7008,Fl,1,Fl,1.7008,2,2,0,2,Y,1,0.4184,,
DONE,6,4.56,b,100,bagged,bagged,16-Aug-21,6-Jul-21,,NA,NA,NA,1405,8,1405,2:05:00 PM,pod-4,4,1,2.6527,Fl,1,Fl,2.6527,2,2,0,2,Y,1,0.66231,,
DONE,6,4.56,b,102,bagged,bagged,,6-Jul-21,YD,NA,NA,NA,1425,8,1425,2:25pm,pod-1,1,1,2.718,Fl,1,Fl,2.718,2,2,0,2,Y,1,0.7041,,
DONE,12,9.12,c,162,bagged,cntrl,16-Aug-21,7-Jul-21,KCE,NA,NA,NA,1438,8,1438,1438,pod-1,1,1,2.3701,Fl,1,Fl,2.3701,2,2,0,2,Y,1,0.517,,
DONE,14,10.64,c,183,cross,cross,13-Aug-21,4-Jul-21,KCE,KCE,afternoon,afternoon,1445,8,NA,,pod-1,1,1,2.7,Fl,1,Fl,2.7,2,2,0,2,Y,1,0.7107,,
,5,3.8,a,77,open,open?,,6-Jul-21,YD,NA,NA,NA,1449,8,1449,2:49:00 PM,pod-1,1,1,2.9218,Fl,1,Fl,2.9218,2,2,0,2,Y,1,0.7195,,
,2,1.52,a,30,bagged,bagged,,5-Jul-21,KCE,NA,NA,NA,1451,8,1451,2:51:00 PM,pod-1,1,1,2.1494,Fl,1,Fl,2.1494,2,2,0,2,Y,1,0.5803,,
DONE??,2,1.52,a,30,bagged,bagged,16-Aug-21,5-Jul-21,,NA,NA,NA,1500,9,1500,1500,pod-3,3,1,2.4167,Fl,1,Fl,2.4167,2,2,0,2,Y,1,0.5993,,
,2,1.52,a,32,cross,cross,,5-Jul-21,KCE,KCE,afternoon,afternoon,1501,9,1501,15:01,pod-3,3,1,1.4027,Fl,1,Fl,1.4027,2,2,0,2,Y,1,0.3605,"25,28,32",
DONE,13,9.88,c,178,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1812,11,1812,1812,pod-1,1,1,1.9,Fl,1,Fl,1.9,2,2,0,2,Y,1,0.5412,,
DONE,13,9.88,c,178,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1812,11,1812,1812,pod-2,2,1,2,Fl,1,Fl,2,2,2,0,2,Y,1,0.5591,,
DONE,13,9.88,c,174,bagged,cntrl,16-Aug-21,7-Jul-21,,NA,NA,NA,1858,11,1858,1858,pod-2,2,1,2.0973,Fl,1,Fl,2.0973,2,2,0,2,Y,1,0.57101,,
DONE,13,9.88,c,172,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1915,12,1915,1915,pod-1,1,1,2.2,Fl,1,Fl,2.2,2,2,0,2,Y,1,0.6089,,
DONE,13,9.88,c,172,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1915,12,1915,1915,pod-3,3,1,2.1547,Fl,1,Fl,2.1547,2,2,0,2,Y,1,0.499,,
DONE,13,9.88,c,172,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1915,12,1915,1915,pod-4,4,1,2.1614,Fl,1,Fl,2.1614,2,2,0,2,Y,1,0.5247,,
,14,10.64,c,189,bagged,cntrl,13-Aug-21,7-Jul-21,,NA,NA,NA,1923,12,1923,1923,pod-1,1,1,1.8,Fl,1,Fl,1.8,2,2,0,2,Y,1,0.468,,
,14,10.64,c,189,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1923,12,1923,1923,pod-2,2,1,1.9,Fl,1,Fl,1.9,2,2,0,2,Y,1,0.5295,,
,14,10.64,c,189,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1923,12,1923,1923,pod-3,3,1,2.329,Fl,1,Fl,2.329,2,2,0,2,Y,1,0.5612,,
,14,10.64,c,189,bagged,cntrl,,7-Jul-21,,NA,NA,NA,1923,12,1923,1923,pod-4,4,1,2.236,Fl,1,Fl,2.236,2,2,0,2,Y,1,0.5689,,
,14,10.64,c,191,bagged,cntrl,13-Aug-21,7-Jul-21,KCE,NA,NA,NA,1931,12,1931,1931,pod-3,3,1,2.1,Fl,1,Fl,2.1,2,2,0,2,Y,1,0.5128,,
,14,10.64,c,191,bagged,cntrl,13-Aug-21,7-Jul-21,KCE,NA,NA,NA,1931,12,1931,1931,pod-4,4,1,2.3,Fl,1,Fl,2.3,2,2,0,2,Y,1,0.5872,,
,14,10.64,c,191,bagged,cntrl,13-Aug-21,7-Jul-21,KCE,NA,NA,NA,1931,12,1931,1931,pod-5,5,1,1.8,Fl,1,Fl,1.8,2,2,0,2,Y,1,0.4995,,
DONE,1,0.76,a,5,bagged,bagged,,8-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.7816,Fl,1,Fl,1.7816,2,2,0,2,Y,1,0.4864,,
DONE,1,0.76,a,5,bagged,bagged,,8-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-2,2,1,1.6692,Fl,1,Fl,1.6692,2,2,0,2,Y,1,0.4392,,
DONE,1,0.76,a,5,bagged,bagged,,8-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-3,3,1,1.8272,Fl,1,Fl,1.8272,2,2,0,2,Y,1,0.5099,,
DONE,1,0.76,a,1,open,open,16-Aug-21,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-4,4,1,2.069,Fl,1,Fl,2.069,2,2,0,2,Y,1,0.5752,,
DONE,1,0.76,a,1,open,open,16-Aug-21,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-5,5,1,2.6754,Fl,1,Fl,2.6754,2,2,0,2,Y,1,0.748,,
DONE,1,0.76,a,3,open,open,,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-2,2,1,1.6171,Fl,1,Fl,1.6171,2,2,0,2,Y,1,0.431,,
DONE,1,0.76,a,3,open,open,,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-4,4,1,1.7539,Fl,1,Fl,1.7539,2,2,0,2,Y,1,0.4312,,
DONE,1,0.76,a,3,open,open,,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-5,5,1,2.6738,Fl,1,Fl,2.6738,2,2,0,2,Y,1,0.7696,,
DONE,1,0.76,a,3,open,open,16-Aug-21,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-7,7,1,2.0233,Fl,1,Fl,2.0233,2,2,0,2,Y,1,0.5587,,
DONE,1,0.76,a,4,open,open,,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-1,1,1,2.459,Fl,1,Fl,2.459,2,2,0,2,Y,1,0.5941,,
DONE,1,0.76,a,4,open,open,,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-3,3,1,3.0252,Fl,1,Fl,3.0252,2,2,0,2,Y,1,0.8331,,
DONE,1,0.76,a,7,open,open,,11-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-1,1,1,2.3735,Fl,1,Fl,2.3735,2,2,0,2,Y,1,0.5925,,
,1,0.76,a,8,open,open,24-Aug-21,11-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-5,5,1,2.0927,Fl,1,Fl,2.0927,2,2,0,2,Y,1,0.647,added in Dec202l,
DONE,2,1.52,a,12,bagged,bagged,,8-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.4688,Fl,1,Fl,1.4688,2,2,0,2,Y,1,0.3588,,
DONE,2,1.52,a,12,bagged,bagged,16-Aug-21,8-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-5,5,1,1.3171,Fl,1,Fl,1.3171,2,2,0,2,Y,1,0.2937,,
DONE,2,1.52,a,22,bagged,cntrl,,5-Jul-21,NA,NA,NA,NA,NA,,NA,NA,pod-1,1,1,2.035,Fl,1,Fl,2.035,2,2,0,2,Y,1,0.5375,,
,2,1.52,a,26,bagged,bagged,,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.8518,Fl,1,Fl,1.8518,2,2,0,2,Y,1,0.4431,,
,2,1.52,a,26,bagged,bagged,,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-2,2,1,2.2554,Fl,1,Fl,2.2554,2,2,0,2,Y,1,0.5723,,
DONE??,2,1.52,a,30,bagged,bagged,,5-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-2,2,1,1.5875,Fl,1,Fl,1.5875,2,2,0,2,Y,1,0.4346,,
,2,1.52,a,33,bagged,bagged,,5-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.3797,Fl,1,Fl,1.3797,2,2,0,2,Y,1,0.3462,,
DONE,2,1.52,a,14,open,open,,11-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.7228,Fl,1,Fl,1.7228,2,2,0,2,Y,1,0.4729,,
DONE,2,1.52,a,14,open,open,,11-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-3,3,1,2.5831,Fl,1,Fl,2.5831,2,2,0,2,Y,1,0.6898,,
DONE,2,1.52,a,15,open,open,,8-Jul-21,MR,NA,NA,NA,NA,,NA,NA,pod-1,1,1,2.4193,Fl,1,Fl,2.4193,2,2,0,2,Y,1,0.6182,,
DONE,2,1.52,a,20,open,open,,7-Jul-21,MR,NA,NA,NA,NA,,NA,NA,pod-1,1,1,2.8284,Fl,1,Fl,2.8284,2,2,0,2,Y,1,0.8611,,
